,mean_rated,height,weight,club,leagueCountry,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,YC_IAT,YR_IAT,RC_IAT,YC_EXP,YR_EXP,RC_EXP
713,0.0,175.0,70.0,57,1,339.0,136.0,79.0,124.0,32.0,85.0,4.0,4.0,6.95053236939,0.14374346084,0.417804038779,8.10971969567,0.156836047404,0.44132541265
714,0.0,180.0,69.0,92,0,167.0,58.0,53.0,56.0,3.0,22.0,1.0,0.0,3.03484912033,0.0,0.108896561242,3.85521129104,0.0,0.118815187427
715,1.0,180.0,75.0,88,2,130.0,42.0,35.0,53.0,28.0,18.0,0.0,0.0,2.23298952878,0.0,0.0,2.23827097173,0.0,0.0
716,1.0,191.0,83.0,6,0,240.0,127.0,50.0,63.0,2.0,26.0,1.0,0.0,3.66153458065,0.0,0.0816724209317,3.53065407864,0.0,0.0891113905704
717,0.0,190.0,80.0,71,2,223.0,87.0,56.0,80.0,14.0,38.0,1.0,0.0,3.66558611557,0.0,0.0420785203303,4.12042253482,0.0,0.04199586155
718,0.0,183.0,75.0,32,2,226.0,89.0,53.0,84.0,6.0,23.0,1.0,1.0,2.32115561873,0.168314081321,0.0480897375204,2.31659595525,0.1679834462,0.0479952703429
719,0.0,182.0,76.0,90,2,94.0,45.0,25.0,24.0,30.0,12.0,1.0,0.0,2.42372277103,0.0,0.336628162643,2.41896162528,0.0,0.3359668924
720,0.0,185.0,77.0,33,0,722.0,365.0,152.0,205.0,62.0,36.0,0.0,1.0,3.21843034154,0.37559155289,0.0,5.00644703892,0.830357142857,0.0
721,1.0,184.0,69.0,79,1,89.0,34.0,18.0,37.0,4.0,15.0,0.0,2.0,2.18082440768,0.195232272576,0.0,1.63228726493,0.196058895162,0.0
722,0.0,185.0,79.0,47,0,53.0,31.0,8.0,14.0,29.0,8.0,1.0,0.0,2.18473834848,0.0,0.352919999547,3.35412060048,0.0,0.445678810652
723,1.0,188.0,86.0,20,0,351.0,205.0,78.0,68.0,6.0,64.0,1.0,3.0,4.91711931147,0.063522994058,0.0466699548181,5.62864505013,0.0693088593325,0.0509207946116
724,0.0,190.0,75.0,81,0,593.0,337.0,127.0,129.0,20.0,37.0,0.0,1.0,2.94978338132,0.0362988537474,0.0,4.71297946393,0.0396050624757,0.0
725,0.0,193.0,97.0,53,0,175.0,62.0,55.0,58.0,0.0,5.0,0.0,1.0,0.573003334156,0.0653379367453,0.0,0.62519420051,0.0712891124563,0.0
726,0.0,184.0,75.0,20,0,696.0,436.0,140.0,120.0,64.0,97.0,2.0,3.0,4.74230157145,0.20118378778,0.0248772316631,6.05213594505,0.117041133416,0.027143124714
727,1.0,179.0,82.0,50,1,427.0,183.0,101.0,143.0,88.0,33.0,0.0,2.0,3.04717400779,0.261095815264,0.0,2.03204859115,-0.0775010147976,0.0
728,0.0,180.0,72.0,26,0,472.0,269.0,99.0,104.0,37.0,87.0,4.0,1.0,7.12141390366,0.117639999849,0.188713362971,10.1859729937,0.148559603551,0.275590761513
729,0.0,188.0,83.0,47,0,472.0,242.0,121.0,109.0,33.0,30.0,0.0,0.0,2.08788469585,0.0,0.0,2.60471937123,0.0,0.0
730,0.0,183.0,79.0,80,0,362.0,127.0,105.0,130.0,75.0,35.0,0.0,1.0,2.46533144286,0.0233349774091,0.0,3.16568208525,0.0254603973058,0.0
731,0.0,181.0,73.0,86,3,289.0,128.0,66.0,95.0,104.0,36.0,2.0,5.0,4.26907453836,0.674383483718,0.0831076148501,6.74172307382,1.40574283691,0.138476195801
